book_slug,book_title,speech_index,speech_title,speaker,section,source_file,output_file
50-speeches-that-made-the-modern-world,50 Speeches That Made the Modern World,17,The cult of the individual and its harmful consequences,Nikita Khrushchev,,data/50 Speeches That Made the Modern World- Famous Speeches from -- Andrew Burnet -- 2016 -- John Murray Press -- 8a9187638b9002e32c40fc7e2ecddeef -- Anna’s Archive.md,50-speeches-that-made-the-modern-world/speeches/017_the-cult-of-the-individual-and-its-harmful-consequences.md
50-speeches-that-made-the-modern-world,50 Speeches That Made the Modern World,18,This is a time for action,Anthony Eden,,data/50 Speeches That Made the Modern World- Famous Speeches from -- Andrew Burnet -- 2016 -- John Murray Press -- 8a9187638b9002e32c40fc7e2ecddeef -- Anna’s Archive.md,50-speeches-that-made-the-modern-world/speeches/018_this-is-a-time-for-action.md
50-speeches-that-made-the-modern-world,50 Speeches That Made the Modern World,19,Without recognition of human rights we shall never have peace,Dag Hammarskjöld,,data/50 Speeches That Made the Modern World- Famous Speeches from -- Andrew Burnet -- 2016 -- John Murray Press -- 8a9187638b9002e32c40fc7e2ecddeef -- Anna’s Archive.md,50-speeches-that-made-the-modern-world/speeches/019_without-recognition-of-human-rights-we-shall-never-have-peace.md
50-speeches-that-made-the-modern-world,50 Speeches That Made the Modern World,20,Most of our people have never had it so good,Harold Macmillan,,data/50 Speeches That Made the Modern World- Famous Speeches from -- Andrew Burnet -- 2016 -- John Murray Press -- 8a9187638b9002e32c40fc7e2ecddeef -- Anna’s Archive.md,50-speeches-that-made-the-modern-world/speeches/020_most-of-our-people-have-never-had-it-so-good.md
50-speeches-that-made-the-modern-world,50 Speeches That Made the Modern World,21,"An honest, loyal, strong, popular government",Patrice Lumumba,,data/50 Speeches That Made the Modern World- Famous Speeches from -- Andrew Burnet -- 2016 -- John Murray Press -- 8a9187638b9002e32c40fc7e2ecddeef -- Anna’s Archive.md,50-speeches-that-made-the-modern-world/speeches/021_an-honest-loyal-strong-popular-government.md
50-speeches-that-made-the-modern-world,50 Speeches That Made the Modern World,22,To be a revolutionary you have first to have a revolution,Ernesto 'Che' Guevara,,data/50 Speeches That Made the Modern World- Famous Speeches from -- Andrew Burnet -- 2016 -- John Murray Press -- 8a9187638b9002e32c40fc7e2ecddeef -- Anna’s Archive.md,50-speeches-that-made-the-modern-world/speeches/022_to-be-a-revolutionary-you-have-first-to-have-a-revolution.md
50-speeches-that-made-the-modern-world,50 Speeches That Made the Modern World,23,Ich bin ein Berliner,John F Kennedy,,data/50 Speeches That Made the Modern World- Famous Speeches from -- Andrew Burnet -- 2016 -- John Murray Press -- 8a9187638b9002e32c40fc7e2ecddeef -- Anna’s Archive.md,50-speeches-that-made-the-modern-world/speeches/023_ich-bin-ein-berliner.md
50-speeches-that-made-the-modern-world,50 Speeches That Made the Modern World,24,I have a dream,Martin Luther King,,data/50 Speeches That Made the Modern World- Famous Speeches from -- Andrew Burnet -- 2016 -- John Murray Press -- 8a9187638b9002e32c40fc7e2ecddeef -- Anna’s Archive.md,50-speeches-that-made-the-modern-world/speeches/024_i-have-a-dream.md
50-speeches-that-made-the-modern-world,50 Speeches That Made the Modern World,25,The ballot or the bullet,,,data/50 Speeches That Made the Modern World- Famous Speeches from -- Andrew Burnet -- 2016 -- John Murray Press -- 8a9187638b9002e32c40fc7e2ecddeef -- Anna’s Archive.md,50-speeches-that-made-the-modern-world/speeches/025_the-ballot-or-the-bullet.md
50-speeches-that-made-the-modern-world,50 Speeches That Made the Modern World,26,Hostility between the sexes has never been worse,,,data/50 Speeches That Made the Modern World- Famous Speeches from -- Andrew Burnet -- 2016 -- John Murray Press -- 8a9187638b9002e32c40fc7e2ecddeef -- Anna’s Archive.md,50-speeches-that-made-the-modern-world/speeches/026_hostility-between-the-sexes-has-never-been-worse.md
50-speeches-that-made-the-modern-world,50 Speeches That Made the Modern World,27,"A Europe which is free, democratic, safe and happy",Edward Heath,,data/50 Speeches That Made the Modern World- Famous Speeches from -- Andrew Burnet -- 2016 -- John Murray Press -- 8a9187638b9002e32c40fc7e2ecddeef -- Anna’s Archive.md,50-speeches-that-made-the-modern-world/speeches/027_a-europe-which-is-free-democratic-safe-and-happy.md
50-speeches-that-made-the-modern-world,50 Speeches That Made the Modern World,28,There can be no whitewash at the White House,Richard M Nixon,,data/50 Speeches That Made the Modern World- Famous Speeches from -- Andrew Burnet -- 2016 -- John Murray Press -- 8a9187638b9002e32c40fc7e2ecddeef -- Anna’s Archive.md,50-speeches-that-made-the-modern-world/speeches/028_there-can-be-no-whitewash-at-the-white-house.md
50-speeches-that-made-the-modern-world,50 Speeches That Made the Modern World,29,I have come bearing an olive branch and a freedom fighter's gun,Yasser Arafat,,data/50 Speeches That Made the Modern World- Famous Speeches from -- Andrew Burnet -- 2016 -- John Murray Press -- 8a9187638b9002e32c40fc7e2ecddeef -- Anna’s Archive.md,50-speeches-that-made-the-modern-world/speeches/029_i-have-come-bearing-an-olive-branch-and-a-freedom-fighter-s-gun.md
50-speeches-that-made-the-modern-world,50 Speeches That Made the Modern World,30,The lady's not for turning,Margaret Thatcher,,data/50 Speeches That Made the Modern World- Famous Speeches from -- Andrew Burnet -- 2016 -- John Murray Press -- 8a9187638b9002e32c40fc7e2ecddeef -- Anna’s Archive.md,50-speeches-that-made-the-modern-world/speeches/030_the-lady-s-not-for-turning.md
50-speeches-that-made-the-modern-world,50 Speeches That Made the Modern World,31,The aggressive impulses of an evil empire,Ronald Reagan,,data/50 Speeches That Made the Modern World- Famous Speeches from -- Andrew Burnet -- 2016 -- John Murray Press -- 8a9187638b9002e32c40fc7e2ecddeef -- Anna’s Archive.md,50-speeches-that-made-the-modern-world/speeches/031_the-aggressive-impulses-of-an-evil-empire.md
50-speeches-that-made-the-modern-world,50 Speeches That Made the Modern World,32,Apartheid's final solution,Desmond Tutu,,data/50 Speeches That Made the Modern World- Famous Speeches from -- Andrew Burnet -- 2016 -- John Murray Press -- 8a9187638b9002e32c40fc7e2ecddeef -- Anna’s Archive.md,50-speeches-that-made-the-modern-world/speeches/032_apartheid-s-final-solution.md
50-speeches-that-made-the-modern-world,50 Speeches That Made the Modern World,33,Tear down this wall!,Ronald Reagan,,data/50 Speeches That Made the Modern World- Famous Speeches from -- Andrew Burnet -- 2016 -- John Murray Press -- 8a9187638b9002e32c40fc7e2ecddeef -- Anna’s Archive.md,50-speeches-that-made-the-modern-world/speeches/033_tear-down-this-wall.md
50-speeches-that-made-the-modern-world,50 Speeches That Made the Modern World,34,We live in a contaminated moral environment,Václav Havel,,data/50 Speeches That Made the Modern World- Famous Speeches from -- Andrew Burnet -- 2016 -- John Murray Press -- 8a9187638b9002e32c40fc7e2ecddeef -- Anna’s Archive.md,50-speeches-that-made-the-modern-world/speeches/034_we-live-in-a-contaminated-moral-environment.md
50-speeches-that-made-the-modern-world,50 Speeches That Made the Modern World,35,On this day of my release,Nelson Mandela,,data/50 Speeches That Made the Modern World- Famous Speeches from -- Andrew Burnet -- 2016 -- John Murray Press -- 8a9187638b9002e32c40fc7e2ecddeef -- Anna’s Archive.md,50-speeches-that-made-the-modern-world/speeches/035_on-this-day-of-my-release.md
