book_slug,book_title,speech_index,speech_title,speaker,section,source_file,output_file
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,14,Ireland unfree shall never be at peace,Patrick Pearse,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/014_ireland-unfree-shall-never-be-at-peace.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,15,There is no salvation for India,Mahatma Gandhi,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/015_there-is-no-salvation-for-india.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,16,Ireland summons her children to the flag,Proclamation of the Irish Republic,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/016_ireland-summons-her-children-to-the-flag.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,17,"In Ireland alone, in this twentieth century, is loyalty held to be a crime",Roger Casement,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/017_in-ireland-alone-in-this-twentieth-century-is-loyalty-held-to-be-a-crime.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,18,The world must be made safe for democracy,Woodrow Wilson,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/018_the-world-must-be-made-safe-for-democracy.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,19,A new phase in the history of Russia begins,V. I. Lenin,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/019_a-new-phase-in-the-history-of-russia-begins.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,20,The dustbin of history,Leon Trotsky,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/020_the-dustbin-of-history.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,21,We need an army,Leon Trotsky,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/021_we-need-an-army.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,22,"While there is a lower class, I am in it",Eugene V. Debs,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/022_while-there-is-a-lower-class-i-am-in-it.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,23,A fit country for heroes to live in,David Lloyd George,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/023_a-fit-country-for-heroes-to-live-in.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,24,American I was born,"Henry Cabot Lodge Washington, DC, 12 August 1919",,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/024_american-i-was-born.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,25,Man will see the truth,"Woodrow Wilson,",,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/025_man-will-see-the-truth.md
